name,stars,city,state_name,party,education,salary,median_rent_2025_10_31,population_density
Boba Haus,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,2.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Old Nelson Food company,4.5,Medford,New Jersey,Democrat,,91000.0,,
Pairings Cigar Bar,4.5,Media,Pennsylvania,Democrat,44.4,86219.0,1922.0873015873012,
McDonald's,2.0,Jefferson,Louisiana,Republican,31.2,56875.0,1506.25,
Le Macaron French Pastries,4.0,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Upshot Coffee Brake Shop,4.0,Saint Charles,Missouri,Republican,,55279.0,,
TM Breads & Pastries,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Litterally Divine Chocolates,4.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Lanai Coffee,4.5,Saint Louis,Missouri,Democrat,,55279.0,,
Boise Boba,4.0,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
Chewy Boba,4.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Sam's Fresh Spot,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Sanba IM,4.0,Goleta,California,Democrat,38.6,118039.0,3642.484920634921,
Square Donuts,3.5,Fishers,Indiana,Republican,62.7,128141.0,1951.650886475448,
Rivers Edge Cafe,4.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Starbucks,2.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
The Bowtie Barista,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Envie Espresso Bar & Cafe,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Darling's Coffeehouse & Cheesecake,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Cafe Tinto,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,3.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Starbucks,2.5,Sparks,Nevada,Democrat,37.3,86979.0,1964.762212770985,
PJ's Coffee Cafe,2.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Betsys Pancake House,3.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Jack's Bistro and Famous Bagels,3.5,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Stacks Breakfast & Lunch,3.0,Bala Cynwyd,Pennsylvania,Democrat,55.4,144453.0,,
Cotton & Snow,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Eco-Bean Organic Coffee House,4.5,Tarpon Springs,Florida,Republican,38.5,68877.0,2048.196581196581,
Wawa,3.0,Medford,New Jersey,Democrat,,91000.0,,
Dunkin',2.0,Havertown,Pennsylvania,Democrat,,60698.0,,
Infused Tea Company,4.5,St. Petersburg,Florida,Republican,38.5,73118.0,,1632.0
Wawa,2.5,New Hope,Pennsylvania,Republican,45.2,158929.0,,
McDonald's,1.5,Greenwood,Indiana,Republican,38.0,78765.0,1632.2466230936818,
Mystify Vapor,5.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Dunkin',2.5,Yardley,Pennsylvania,Republican,45.2,118750.0,2695.7000000000003,
East Main Street Coffee and Sandwich Shop,4.5,New Port Richey,Florida,Republican,31.3,46160.0,1753.8333333333333,
Miscellanea House,4.5,Belleville,Illinois,Democrat,34.2,60529.0,1072.5014005602245,
Walden's Coffeehouse,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Dunkin',2.0,Burlington,New Jersey,Democrat,,78009.0,,
PJ's Coffee,3.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Starbucks,3.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
McDonald's,2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
South Street Philly Bagels,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Fishtown Bikes-n-Beans,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Kitchen Gia,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
"Towie's Grocery, Deli & Coffee Shop",4.5,Collingswood,New Jersey,Democrat,38.8,83917.0,1593.4864417989418,
Bergamot Market,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Whispering Leaves,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Woosa Bubble Tea,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Dunkin',2.5,Bordentown,New Jersey,Democrat,,91208.0,,
Starbucks,3.0,O'Fallon,Illinois,Democrat,34.2,102793.0,,
Parlor Doughnuts,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Dunkin',3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Eagle River Coffee,4.0,Eagle,Idaho,Republican,46.3,118037.0,1985.2402777777777,
McDonald's,3.0,West Chester,Pennsylvania,Democrat,58.0,81492.0,2121.137626262627,
Cafe Flora,3.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
"The Human Bean Meridian, N. Meridian Rd",4.0,Meridian,Idaho,Republican,46.3,98686.0,2015.2290262803235,
Starbucks,3.0,Trinity,Florida,Republican,31.3,113125.0,,
Dunkin',2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,3.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Twisted Sprocket Cafe,4.0,Land O' Lakes,Florida,Republican,31.3,98648.0,,
Naked Chocolate Cafe,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Fourth Wall Coffee,5.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Wawa,3.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Central Table,3.0,Saint Louis,Missouri,Democrat,,55279.0,,
The Smoke Bodega,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Lick,5.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Starbucks,2.5,Media,Pennsylvania,Democrat,44.4,86219.0,1922.0873015873012,
The Grind Coffee Bar & Cafe at Westchase,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Wawa,3.0,Chalfont,Pennsylvania,Republican,45.2,131944.0,2450.0,
Moon Mountain,4.5,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
Starbucks,3.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
McDonald's,1.5,Whiteland,Indiana,Republican,38.0,88411.0,,
Malelani  Cafe,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Dunkin',2.0,New Port Richey,Florida,Republican,31.3,46160.0,1753.8333333333333,
Dunkin' Donuts,1.0,Huntingdon Valley,Pennsylvania,Democrat,,60698.0,1954.0,
Starbucks,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Drug Store Coffee,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,1.5,O'Fallon,Illinois,Democrat,34.2,102793.0,,
Wawa,4.0,Collegeville,Pennsylvania,Democrat,55.4,88992.0,2583.753703703704,
Starbucks,3.0,St. Petersburg,Florida,Republican,38.5,73118.0,,1632.0
Caracolillo Coffee Mills,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
The New Leaf,3.5,Riverton,New Jersey,Democrat,42.1,126818.0,,
Starbucks,3.5,Paoli,Pennsylvania,Democrat,58.0,117094.0,2429.0333333333333,
Indigo,3.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
The Griddle,4.0,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
The Well Coffeehouse and Marketplace,4.5,Hockessin,Delaware,Democrat,38.7,172695.0,3090.0,
McDonald's,3.0,Burlington,New Jersey,Democrat,,78009.0,,
Vapor Road - Tyrone,4.5,St. Petersburg,Florida,Republican,38.5,73118.0,,1632.0
Circle K,2.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
PJ's Coffee,3.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
El Greco Diner,4.5,Clifton Heights,Pennsylvania,Democrat,44.4,69940.0,1491.829365079365,
Community Coffee,4.0,Metairie,Louisiana,Republican,31.2,73256.0,1645.3324786324786,
Wawa,3.0,Brookhaven,Pennsylvania,Democrat,44.4,96393.0,,
My Favorite Muffin,4.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Handlebar Coffee Roasters,4.5,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Thunder Mug Cafe,5.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Strongline Espresso,4.5,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
McDonald's,1.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Genesis Bagels & Deli Inc,3.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Joyful Tea,5.0,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
Dunkin' Donuts,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,King Of Prussia,Pennsylvania,Democrat,55.4,86149.0,2166.7329901329904,
World Cup of Tea,4.0,Franklin,Tennessee,Republican,65.8,115000.0,2052.104521404521,
La Colombe,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,Wilmington,Delaware,Democrat,38.7,55269.0,1756.0830026455026,
The Bagel Stand,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Boise Boba,3.5,Eagle,Idaho,Republican,46.3,118037.0,1985.2402777777777,
Dunkin',2.5,Paulsboro,New Jersey,Republican,37.6,68750.0,,
Dunkin',3.0,Folsom,Pennsylvania,Democrat,44.4,100544.0,,
Buzzy Coffee Co.,5.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
McDonald's,1.5,North Wales,Pennsylvania,Democrat,55.4,115833.0,1930.419047619048,
Dunkin',2.0,Brentwood,Tennessee,Republican,65.8,184720.0,2257.203703703704,
Gryphon Cafe,4.5,Rosemont,Pennsylvania,Democrat,55.4,85913.0,,
Starbucks,3.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Kings Arms Coffee Roasters,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Dreamer's Coffee House & Deli,4.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Dunkin',3.0,Plymouth Meeting,Pennsylvania,Democrat,55.4,109706.0,2298.111111111112,
Wawa,2.0,Levittown,Pennsylvania,Republican,45.2,101619.0,1847.9166666666667,
Milk & Honey Market,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Pint Size Bakery & Coffee,4.5,Saint Louis,Missouri,Democrat,,55279.0,,
Manhattan Bagel,2.0,Chesterbrook,Pennsylvania,Democrat,58.0,140972.0,2566.6666666666665,
Bikes and Beans,4.5,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
Panitas Bakery and Bistro,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Café L'Aube,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Shaw's Coffee,4.0,Saint Louis,Missouri,Democrat,,55279.0,,
Crushcakes Cafe & Simply Pies,3.5,Goleta,California,Democrat,38.6,118039.0,3642.484920634921,
Penguin's Frozen Yogurt Place,4.5,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
B2,3.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Speedway,4.0,Clermont,Indiana,Democrat,35.3,81979.0,,
The Donut Experiment,4.5,Saint Charles,Missouri,Republican,,55279.0,,
McDonald's,1.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Circle K,3.5,Oro Valley,Arizona,Democrat,37.9,105342.0,1923.6564327485376,
McDonald's,3.0,Mount Laurel,New Jersey,Democrat,,91000.0,,
Einstein Bros. Bagels,3.0,Paoli,Pennsylvania,Democrat,58.0,117094.0,2429.0333333333333,
The Foundry Bakery,5.0,Maryland Heights,Missouri,Democrat,46.7,86485.0,1322.1503759398497,
Starbucks,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
The Mocha Nut Coffee Shop,4.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Franny's Place Family Restaurant,4.0,Kenner,Louisiana,Republican,31.2,64099.0,1663.6666666666667,
Mugshots Coffeehouse & Cafe,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,St. Charles,Missouri,Republican,43.4,85522.0,,
MamaBuntz Donut Company,4.5,Sewell,New Jersey,Republican,37.6,135141.0,2450.833333333333,
Dunkin',4.0,Deptford,New Jersey,Republican,,91000.0,,
McDonald's,1.5,Ferguson,Missouri,Democrat,46.7,46106.0,1299.638888888889,
Nesbit's Poeyfarre Market,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Starbucks,2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Mugshots,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
The Bikery,4.5,St Petersburg,Florida,Republican,,71302.0,2063.6960586694618,
Donatello's Italian Restaurant,3.5,Carmel,Indiana,Republican,62.7,134602.0,1827.6327732974908,
Speedway,1.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Sandpiper Coffee Roaster Cafe,4.5,Dunedin,Florida,Republican,38.5,68068.0,2087.5775446775447,
